comment,sentiment
" Mới mua máy được 1 ngày, thấy mọi thứ vẫn ổn, pin sài đc lâu, camera chụp tốt. Màn hình nhạy, mọi thứ tốt.",1
 mình mua gần 5 tháng.....máy xài rất ok...không như mọi người nói...tình trạng pin còn 100%,1
" Mình gặp vấn đề về pin, dùng sau 1 tháng bị giảm 1% pin, mang đi bảo hành bên hãng đổi máy mới dùng được 1 tháng lại bị giảm 1%.",0
 Máy rung khá êm nên nhiều lúc có cuộc gọi không biết! Vì lí đo công việc nên máy chỉ để rung k để chuông nhiều khi lỡ cuộc gọi,0
 Mua dc 3 ngày rồi  Màu vàng  Mới xài bữa đầu ok Bữa thứ 3 là hơi hao pin rồi Để theo dõi tiếp xem sao,0
 Gửi đi bh rồi về xài bt. Nhưng vẫn hao pin. Hỏi nv thì nv tl đt để qua đêm hao 17% là bình thường. Ko xài ứng dụng ko sim,0
" T mua ip11 cách đây hơn 1th. Mới lấy về thì xài rất ok. Đến ngày thứ 25 thì pin tuột nhanh. Theo dõi 3ngày vẫn vậy nên mới mang ra tgdd để kiểm tra. Đt tháo sim ko chạy ứng dụng, ",0
 Chưa hài lòng về sản phẩm này cho lắm  Mặc dù mua khá nhiều sp của tgdd mà k đc ưu đãi j Nhân viên nhiệt tình chu đáo  ,1
 Máy mới mua sáng nay! Máy k rung khi có cuộc gọi hay tin nhắn đến! Vào cài đặt đặt lại máy thì máy rung bụp bụp như hỏng bộ phận rung!,0
 Mình cũng đã sài được hơn 1 tháng . Về cấu hình bin và hiệu năng đều ok . Trước mình dùng 7pl chụp cam trc và sau rất ok . Nhưg k hiểu sao ip11 này camera sau khi chụp tối có nhiều ánh đèn thì thấy trên có những đóm sáng bị phản chiếu ngược lại kiểu như gương bị rỗ ý . Chụp ban ngay hay ít bóng đèn thì k bị phản chiếu . Còn camera trước thì hơi bị ánh vàng kiểu như bị vàng da ý . Còn đâu mọi thứ rất tốt,1
